journey_id,cust_id,issue_type,tier,start_timestamp,end_timestamp,event_count,channel_count,channel_switches,max_friction,mean_friction,resolved,terminal_status,escalated,repeat_contact_14d,breakpoint_event_id,transaction_amount_usd,severity,resolution_difficulty,customer_churned_30d
JRN_00000001,CUST_PREMIUM_001001,routine_account_review,Green,1780794801.168233,1780795321.168233,2,1,0,0.1737,0.1271,True,resolved,False,False,evt_app_000000002,,0.1296,0.0417,False
JRN_00000002,CUST_PREMIUM_001001,dispute_status,Green,1777448238.168233,1777448238.168233,1,1,0,0.7281,0.7281,True,resolved,False,True,evt_in_person_000000003,646.97,0.6219,0.642,False
JRN_00000003,CUST_PREMIUM_001001,login_problem,Green,1776959733.168233,1776959733.168233,1,1,0,0.7384,0.7384,False,abandoned,True,True,evt_app_000000004,,0.5449,0.2944,False
JRN_00000004,CUST_PREMIUM_001001,routine_account_review,Green,1781998617.168233,1781998617.168233,1,1,0,0.0576,0.0576,True,resolved,True,True,evt_app_000000005,,0.1772,0.0619,False
JRN_00000005,CUST_PREMIUM_001001,travel_booking,Green,1783336715.168233,1783337306.168233,2,1,0,0.8211,0.7084,True,resolved,False,True,evt_web_000000007,2990.74,0.6141,0.4097,False
JRN_00000006,CUST_PREMIUM_001001,payment_failure,Green,1783069538.168233,1783069538.168233,1,1,0,0.6486,0.6486,True,resolved,False,True,evt_call_center_000000008,187.38,0.7751,0.4641,False
JRN_00000007,CUST_PREMIUM_001001,routine_account_review,Green,1784641894.168233,1784641894.168233,1,1,0,0.0866,0.0866,False,pending,False,True,evt_app_000000009,,0.1219,0.0378,False
JRN_00000008,CUST_PREMIUM_001001,travel_booking,Green,1784657320.168233,1784657320.168233,1,1,0,0.3358,0.3358,True,resolved,False,False,evt_app_000000010,497.97,0.4916,0.3297,False
JRN_00000009,CUST_PREMIUM_001002,login_problem,Gold,1784618873.168233,1784627852.168233,2,2,1,0.4962,0.397,True,resolved,False,False,evt_web_000000011,,0.4192,0.3319,False
JRN_00000010,CUST_PREMIUM_001002,replacement_card,Gold,1778355367.168233,1778355367.168233,1,1,0,0.4192,0.4192,True,resolved,False,True,evt_app_000000013,,0.515,0.2558,False
JRN_00000011,CUST_PREMIUM_001002,suspected_fraud,Gold,1775613559.168233,1775642017.168233,2,2,1,1.0,0.9004,True,resolved,True,False,evt_in_person_000000015,27.27,0.99,0.5925,False
JRN_00000012,CUST_PREMIUM_001002,payment_failure,Gold,1778319883.168233,1778323578.168233,3,3,2,0.9413,0.8353,True,resolved,True,False,evt_call_center_000000018,91.64,0.7311,0.481,False
JRN_00000013,CUST_PREMIUM_001002,lounge_access,Gold,1778516412.168233,1778516412.168233,1,1,0,0.3039,0.3039,True,resolved,False,False,evt_call_center_000000019,,0.2947,0.249,False
JRN_00000014,CUST_PREMIUM_001002,benefit_claim,Gold,1775519324.168233,1775521410.168233,2,2,1,0.4289,0.3712,True,resolved,False,False,evt_web_000000020,11.44,0.38,0.3843,False
JRN_00000015,CUST_PREMIUM_001002,benefit_claim,Gold,1778804822.168233,1778807253.168233,2,2,1,0.1407,0.116,True,resolved,False,False,evt_web_000000023,65.9,0.2124,0.3754,False
JRN_00000016,CUST_PREMIUM_001002,payment_failure,Gold,1783992402.168233,1783992402.168233,1,1,0,0.655,0.655,True,resolved,True,False,evt_app_000000024,100.97,0.8304,0.3727,False
JRN_00000017,CUST_PREMIUM_001002,travel_booking,Gold,1782992277.168233,1782996613.168233,2,2,1,0.5076,0.4653,True,resolved,True,False,evt_call_center_000000026,1103.96,0.3604,0.3109,False
JRN_00000018,CUST_PREMIUM_001002,lounge_access,Gold,1784146434.168233,1784149891.168233,2,2,1,0.1155,0.1063,True,resolved,False,False,evt_app_000000028,,0.1851,0.1905,False
JRN_00000019,CUST_PREMIUM_001002,routine_account_review,Gold,1782533420.168233,1782538189.168233,2,2,1,0.1704,0.16,True,resolved,False,True,evt_call_center_000000030,,0.1595,0.0266,False
JRN_00000020,CUST_PREMIUM_001002,dispute_status,Gold,1784938077.168233,1784940901.168233,2,2,1,0.6855,0.6851,False,abandoned,False,True,evt_app_000000032,311.03,0.7052,0.6181,False
JRN_00000021,CUST_PREMIUM_001003,travel_booking,Gold,1784461134.168233,1784461134.168233,1,1,0,0.307,0.307,True,resolved,False,True,evt_web_000000033,918.65,0.348,0.2849,False
