event_id_left,event_id_right,is_match,pair_type,true_cust_id_left,true_cust_id_right
evt_in_person_000004532,evt_web_000004528,1,positive_cross_channel,CUST_PREMIUM_001525,CUST_PREMIUM_001525
evt_app_000001249,evt_call_center_000001248,1,positive_cross_channel,CUST_PREMIUM_001148,CUST_PREMIUM_001148
evt_call_center_000006820,evt_app_000006819,1,positive_cross_channel,CUST_PREMIUM_001745,CUST_PREMIUM_001745
evt_call_center_000002907,evt_app_000002912,1,positive_cross_channel,CUST_PREMIUM_001338,CUST_PREMIUM_001338
evt_app_000004228,evt_app_000004226,1,positive_same_channel,CUST_PREMIUM_001488,CUST_PREMIUM_001488
evt_app_000007167,evt_call_center_000007172,1,positive_cross_channel,CUST_PREMIUM_001779,CUST_PREMIUM_001779
evt_app_000005139,evt_app_000005143,1,positive_same_channel,CUST_PREMIUM_001585,CUST_PREMIUM_001585
evt_app_000003997,evt_web_000004004,1,positive_cross_channel,CUST_PREMIUM_001464,CUST_PREMIUM_001464
evt_app_000008412,evt_web_000008413,1,positive_cross_channel,CUST_PREMIUM_001926,CUST_PREMIUM_001926
evt_app_000003505,evt_app_000003503,1,positive_same_channel,CUST_PREMIUM_001406,CUST_PREMIUM_001406
evt_app_000001928,evt_call_center_000001932,1,positive_cross_channel,CUST_PREMIUM_001225,CUST_PREMIUM_001225
evt_app_000001167,evt_web_000001168,1,positive_cross_channel,CUST_PREMIUM_001133,CUST_PREMIUM_001133
evt_web_000009162,evt_in_person_000009164,1,positive_cross_channel,CUST_PREMIUM_001997,CUST_PREMIUM_001997
evt_in_person_000003312,evt_in_person_000003306,1,positive_same_channel,CUST_PREMIUM_001386,CUST_PREMIUM_001386
evt_app_000002384,evt_web_000002388,1,positive_cross_channel,CUST_PREMIUM_001280,CUST_PREMIUM_001280
evt_call_center_000000241,evt_app_000000240,1,positive_cross_channel,CUST_PREMIUM_001022,CUST_PREMIUM_001022
evt_call_center_000000327,evt_call_center_000000329,1,positive_same_channel,CUST_PREMIUM_001039,CUST_PREMIUM_001039
evt_app_000000945,evt_web_000000936,1,positive_cross_channel,CUST_PREMIUM_001109,CUST_PREMIUM_001109
evt_web_000006347,evt_in_person_000006342,1,positive_cross_channel,CUST_PREMIUM_001699,CUST_PREMIUM_001699
evt_app_000002927,evt_call_center_000002921,1,positive_cross_channel,CUST_PREMIUM_001339,CUST_PREMIUM_001339
evt_call_center_000000304,evt_web_000000303,1,positive_cross_channel,CUST_PREMIUM_001033,CUST_PREMIUM_001033
evt_app_000003127,evt_web_000003130,1,positive_cross_channel,CUST_PREMIUM_001366,CUST_PREMIUM_001366
evt_app_000007845,evt_in_person_000007848,1,positive_cross_channel,CUST_PREMIUM_001862,CUST_PREMIUM_001862
evt_app_000001249,evt_call_center_000001247,1,positive_cross_channel,CUST_PREMIUM_001148,CUST_PREMIUM_001148
evt_call_center_000002524,evt_web_000002527,1,positive_cross_channel,CUST_PREMIUM_001296,CUST_PREMIUM_001296
evt_call_center_000007219,evt_call_center_000007225,1,positive_same_channel,CUST_PREMIUM_001787,CUST_PREMIUM_001787
evt_call_center_000005047,evt_app_000005043,1,positive_cross_channel,CUST_PREMIUM_001577,CUST_PREMIUM_001577
evt_call_center_000006382,evt_app_000006387,1,positive_cross_channel,CUST_PREMIUM_001704,CUST_PREMIUM_001704
evt_call_center_000001412,evt_app_000001420,1,positive_cross_channel,CUST_PREMIUM_001166,CUST_PREMIUM_001166
evt_app_000001802,evt_in_person_000001803,1,positive_cross_channel,CUST_PREMIUM_001213,CUST_PREMIUM_001213
evt_app_000006044,evt_in_person_000006043,1,positive_cross_channel,CUST_PREMIUM_001676,CUST_PREMIUM_001676
evt_call_center_000001700,evt_web_000001699,1,positive_cross_channel,CUST_PREMIUM_001200,CUST_PREMIUM_001200
evt_app_000004350,evt_web_000004349,1,positive_cross_channel,CUST_PREMIUM_001498,CUST_PREMIUM_001498
evt_web_000008684,evt_web_000008685,1,positive_same_channel,CUST_PREMIUM_001951,CUST_PREMIUM_001951
evt_app_000003496,evt_call_center_000003497,1,positive_cross_channel,CUST_PREMIUM_001402,CUST_PREMIUM_001402
evt_in_person_000001864,evt_app_000001863,1,positive_cross_channel,CUST_PREMIUM_001218,CUST_PREMIUM_001218
evt_web_000001410,evt_call_center_000001409,1,positive_cross_channel,CUST_PREMIUM_001165,CUST_PREMIUM_001165
evt_call_center_000002542,evt_call_center_000002546,1,positive_same_channel,CUST_PREMIUM_001297,CUST_PREMIUM_001297
evt_call_center_000002093,evt_app_000002091,1,positive_cross_channel,CUST_PREMIUM_001250,CUST_PREMIUM_001250
evt_call_center_000007569,evt_app_000007570,1,positive_cross_channel,CUST_PREMIUM_001827,CUST_PREMIUM_001827
evt_app_000009044,evt_app_000009042,1,positive_same_channel,CUST_PREMIUM_001986,CUST_PREMIUM_001986
evt_app_000004016,evt_call_center_000004018,1,positive_cross_channel,CUST_PREMIUM_001465,CUST_PREMIUM_001465
evt_web_000007692,evt_app_000007688,1,positive_cross_channel,CUST_PREMIUM_001844,CUST_PREMIUM_001844
evt_app_000002498,evt_call_center_000002499,1,positive_cross_channel,CUST_PREMIUM_001292,CUST_PREMIUM_001292
evt_call_center_000002990,evt_web_000002994,1,positive_cross_channel,CUST_PREMIUM_001345,CUST_PREMIUM_001345
evt_app_000005352,evt_call_center_000005356,1,positive_cross_channel,CUST_PREMIUM_001604,CUST_PREMIUM_001604
evt_in_person_000001803,evt_app_000001801,1,positive_cross_channel,CUST_PREMIUM_001213,CUST_PREMIUM_001213
evt_app_000000371,evt_call_center_000000374,1,positive_cross_channel,CUST_PREMIUM_001045,CUST_PREMIUM_001045
evt_in_person_000005978,evt_app_000005983,1,positive_cross_channel,CUST_PREMIUM_001668,CUST_PREMIUM_001668
evt_app_000005796,evt_web_000005794,1,positive_cross_channel,CUST_PREMIUM_001645,CUST_PREMIUM_001645
evt_web_000005303,evt_app_000005296,1,positive_cross_channel,CUST_PREMIUM_001600,CUST_PREMIUM_001600
evt_app_000002812,evt_web_000002809,1,positive_cross_channel,CUST_PREMIUM_001325,CUST_PREMIUM_001325
